,,,nominal gross output,nominal intermediate input,nominal IT equipment capital,nominal software capital,nominal R&D capital,nominal entertainment originals capital,nominal other capital,nominal college labor input,nominal non-college labor input,gross output quantity index,intermediate input quantity index,quantity index IT equipment capital,quantity index software capital,quantity index R&D capital,quantity index entertainment originals capital,quantity index other capital,quantity index college labor input,quantity index non-college labor input,total hours
yr,indnum,Description,go.,ii.,vkit.,vksoft.,vkRD.,vkart.,vkoth.,vlcol.,vln.,goqi.,iiqi.,qkit.,qks.,qkrd.,qka.,qko.,qlindexcol_merge.,qlindexn_merge.,hrs
1952,2,"Forestry, fishing, and related activities",2481,1146,1.4621679999999999,1.4621679999999999,1.4621679999999999,1.4621679999999999,843.19525099999998,9.7191200000000002,476.23690800000003,0.37825999999999999,0.49493999999999999,1.3699999999999999E-3,1,1,1,0.19281000000000001,4.6112E-2,1.256505,337.50259399999999
1953,2,"Forestry, fishing, and related activities",2584,1225,1.32951,1.32951,1.32951,1.32951,811.55169699999999,10.842605000000001,531.28765899999996,0.41993000000000003,0.53635999999999995,1.3699999999999999E-3,1,1,1,0.20291000000000001,6.5872E-2,1.15709,337.71215799999999
1954,2,"Forestry, fishing, and related activities",2408,1035,1.201643,1.201643,1.201643,1.201643,776.81304899999998,11.827607,579.55273399999999,0.40677999999999997,0.45243,1.3699999999999999E-3,1,1,1,0.20807999999999999,8.1522999999999998E-2,1.1062609999999999,337.74923699999999
1955,2,"Forestry, fishing, and related activities",2819,1302,1.1986019999999999,1.1986019999999999,1.1986019999999999,1.1986019999999999,917.85656700000004,11.886977999999999,582.46197500000005,0.46949999999999997,0.56845999999999997,1.3699999999999999E-3,1,1,1,0.21826999999999999,9.8646999999999999E-2,1.1276280000000001,337.85781900000001
1956,2,"Forestry, fishing, and related activities",2886,1343,1.1615850000000001,1.1615850000000001,1.1615850000000001,1.1615850000000001,896.27758800000004,27.432238000000002,614.64379899999994,0.46421000000000001,0.57557000000000003,1.3699999999999999E-3,1,1,1,0.22994000000000001,0.121499,1.209492,342.18847699999998
1957,2,"Forestry, fishing, and related activities",2658,1177,1.0973189999999999,1.0973189999999999,1.0973189999999999,1.0973189999999999,820.48706100000004,38.738757999999997,617.38488800000005,0.44707999999999998,0.49879000000000001,1.3699999999999999E-3,1,1,1,0.23741999999999999,0.13337399999999999,1.0407169999999999,338.53851300000002
1958,2,"Forestry, fishing, and related activities",2617,1077,1.0488569999999999,1.0488569999999999,1.0488569999999999,1.0488569999999999,821.77246100000002,60.881844000000001,653.15020800000002,0.43047000000000002,0.45078000000000001,1.3699999999999999E-3,1,1,1,0.24582000000000001,0.14901300000000001,1.104576,330.89111300000002
1959,2,"Forestry, fishing, and related activities",3196,1500,1.082128,1.082128,1.082128,1.082128,948.04888900000003,68.837410000000006,674.78515600000003,0.46357999999999999,0.61638000000000004,1.3699999999999999E-3,1,1,1,0.25716,0.15606999999999999,1.213055,333.03692599999999
1960,2,"Forestry, fishing, and related activities",3283,1593,1.078578,1.078578,1.078578,1.078578,938.21008300000005,47.460113999999997,700.01550299999997,0.49045,0.65673000000000004,1.3699999999999999E-3,1,1,1,0.26416000000000001,0.14794099999999999,1.15425,344.79605099999998
1961,2,"Forestry, fishing, and related activities",3400,1681,1.0540480000000001,1.0540480000000001,1.0540480000000001,1.0540480000000001,940.307007,51.502457,722.97430399999996,0.51119999999999999,0.69581000000000004,1.3699999999999999E-3,1,1,1,0.26862999999999998,0.15784400000000001,1.1349499999999999,351.56558200000001
1962,2,"Forestry, fishing, and related activities",3799,1860,1.068767,1.068767,1.068767,1.068767,1126.2460940000001,48.476447999999998,760.00244099999998,0.55671999999999999,0.75844999999999996,1.3699999999999999E-3,1,1,1,0.27367999999999998,0.15202299999999999,1.1104529999999999,354.118225
1963,2,"Forestry, fishing, and related activities",4255,2231,1.0987549999999999,1.0987549999999999,1.0987549999999999,1.0987549999999999,1192.923096,38.073338,788.60839799999997,0.60197999999999996,0.89988999999999997,1.3699999999999999E-3,1,1,1,0.28155999999999998,0.142095,1.092533,359.41928100000001
1947,3,Oil and gas extraction,3737,1707,0.81484800000000002,0.81484800000000002,0.30857800000000002,0.81484800000000002,1196.0297849999999,150.43777499999999,683.22387700000002,0.46344000000000002,0.43256,2.2200000000000002E-3,1,3.4399999999999999E-3,1,0.28060000000000002,0.22104399999999999,0.79143399999999997,241.640289
1948,3,Oil and gas extraction,5442,2278,0.87453599999999998,0.87453599999999998,0.57253799999999999,0.87453599999999998,2053.0754390000002,203.959915,903.768372,0.53239999999999998,0.51195000000000002,2.2200000000000002E-3,1,3.7299999999999998E-3,1,0.2898,0.24352499999999999,0.85707999999999995,257.908997
1949,3,Oil and gas extraction,4856,1800,0.88667700000000005,0.88667700000000005,0.54807700000000004,0.88667700000000005,1942.3599850000001,207.20173600000001,903.23040800000001,0.48898999999999998,0.40077000000000002,2.2200000000000002E-3,1,3.9199999999999999E-3,1,0.30058000000000001,0.22784299999999999,0.82636100000000001,235.62905900000001
1950,3,Oil and gas extraction,5241,1863,1.055366,1.055366,0.70758200000000004,1.055366,2536.8947750000002,167.317307,669.91430700000001,0.53176000000000001,0.40477999999999997,2.2200000000000002E-3,1,4.0000000000000001E-3,1,0.31313999999999997,0.26291900000000001,0.83738800000000002,250.09620699999999
1951,3,Oil and gas extraction,6040,2266,0.90543700000000005,0.90543700000000005,0.63526700000000003,0.90543700000000005,2390.8671880000002,276.07037400000002,1103.710693,0.59260999999999997,0.45322000000000001,2.2200000000000002E-3,1,4.15E-3,1,0.32735999999999998,0.28694799999999998,0.92869199999999996,282.95022599999999
1952,3,Oil and gas extraction,6267,2251,1.019344,1.019344,0.73558000000000001,1.019344,2783.8930660000001,257.41842700000001,970.89520300000004,0.61121999999999999,0.44253999999999999,2.2200000000000002E-3,1,4.45E-3,1,0.34344999999999998,0.32447300000000001,0.98846599999999996,304.58468599999998
1953,3,Oil and gas extraction,6896,2549,0.93755100000000002,0.93755100000000002,0.75721899999999998,0.93755100000000002,2775.2790530000002,341.36099200000001,1226.7899170000001,0.63678999999999997,0.48677999999999999,2.2200000000000002E-3,1,4.9800000000000001E-3,1,0.36285000000000001,0.35364400000000001,0.99648099999999995,319.79336499999999
1954,3,Oil and gas extraction,7136,2396,0.98300799999999999,0.98300799999999999,1.1106689999999999,0.98300799999999999,3217.7282709999999,339.44735700000001,1178.7645259999999,0.64617999999999998,0.46682000000000001,2.2200000000000002E-3,1,5.7299999999999999E-3,1,0.38480999999999999,0.37026100000000001,1.0001500000000001,327.03979500000003
1955,3,Oil and gas extraction,7644,2420,0.90658499999999997,0.90658499999999997,1.2068509999999999,0.90658499999999997,3294.6379390000002,433.74572799999999,1491.689697,0.68974000000000002,0.45573999999999998,2.2200000000000002E-3,1,6.3299999999999997E-3,1,0.40950999999999999,0.40322799999999998,1.0382739999999999,360.151703
1956,3,Oil and gas extraction,8229,2741,0.95234399999999997,0.95234399999999997,1.2447820000000001,0.95234399999999997,3578.9582519999999,436.74728399999998,1468.192505,0.72377000000000002,0.48438999999999999,2.2200000000000002E-3,1,6.7099999999999998E-3,1,0.43497000000000002,0.42139199999999999,1.0837410000000001,373.232483
1957,3,Oil and gas extraction,9071,3341,0.89407000000000003,0.89407000000000003,1.1253740000000001,0.89407000000000003,3513.6877439999998,524.09313999999995,1688.411499,0.74446999999999997,0.57550000000000001,2.2200000000000002E-3,1,6.8900000000000003E-3,1,0.45883000000000002,0.43271199999999999,1.0875429999999999,369.98782299999999
