Quantity Index Labor Hours (2017=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Hospitals and nursing and residential care facilities,74.188000000000002,73.575000000000003,73.667000000000002,75.245999999999995,77.028999999999996,78.606999999999999,81.156000000000006,82.822999999999993,84.084000000000003,85.29,87.298000000000002,89.134,89.025000000000006,89.938000000000002,91.302000000000007,93.257999999999996,94.048000000000002,94.438000000000002,96.983999999999995,99.162999999999997,100,103.129,104.247,102.27,100.58799999999999,100.584,103.816,107.268
Social assistance,61.283999999999999,62.765999999999998,65.260999999999996,66.710999999999999,67.881,70.465000000000003,71.286000000000001,74.096000000000004,76.195999999999998,79.168999999999997,81.674000000000007,84.093999999999994,84.61,85.128,84.674000000000007,87.768000000000001,88.941999999999993,90.551000000000002,93.921000000000006,97.483999999999995,100,104.52800000000001,109.28400000000001,104.616,110.566,115.71899999999999,123.057,129.90100000000001
"Performing arts, spectator sports, museums, and related activities",88.247,85.123999999999995,87.463999999999999,86.774000000000001,79.402000000000001,83.444000000000003,86.882999999999996,89.072000000000003,91.313999999999993,91.349000000000004,90.506,93.135999999999996,87.616,87.096999999999994,88.307000000000002,88.174000000000007,91.995000000000005,95.73,98.653000000000006,101.16800000000001,100,105.605,103.82899999999999,75.302999999999997,88.328999999999994,106.437,110.482,113.054
"Amusements, gambling, and recreation industries",84.009,85.637,87.807000000000002,89.887,86.495000000000005,87.400999999999996,90.992000000000004,92.844999999999999,93.402000000000001,91.677000000000007,90.756,89.980999999999995,85.48,85.813000000000002,84.207999999999998,86.713999999999999,90.718000000000004,94.510999999999996,96.77,100.02500000000001,100,102.57,103.354,77.733000000000004,91.084999999999994,98.784999999999997,104.578,108.191
Accommodation,98.052999999999997,100.53,101.71599999999999,105.84699999999999,95.783000000000001,93.028000000000006,93.438999999999993,93.194000000000003,96.772999999999996,99.617999999999995,101.288,100.255,92.349000000000004,91.745999999999995,91.396000000000001,93.230999999999995,94.691000000000003,96.945999999999998,97.384,98.543000000000006,100,103.56,105.961,69.203000000000003,76.38,91.918000000000006,96.929000000000002,98.007000000000005
Food services and drinking places,73.28,74.492000000000004,75.548000000000002,76.632999999999996,73.997,75.581999999999994,77.072000000000003,79.48,80.847999999999999,82.263000000000005,83.369,83.253,80.012,80.162000000000006,82.694999999999993,87.072000000000003,89.855999999999995,92.757999999999996,95.831000000000003,97.736999999999995,100,103.46899999999999,104.077,81.849000000000004,93.506,99.585999999999999,102.98,102.626
"Other services, except government",95.766999999999996,99.361000000000004,99.930999999999997,100.425,98.575000000000003,102.117,101.51,100.429,99.7,100.676,100.42700000000001,99.704999999999998,95.974999999999994,95.076999999999998,96.45,96.090999999999994,97.427000000000007,99.162000000000006,99.471000000000004,99.275999999999996,100,103.666,104.023,91.706999999999994,96.260999999999996,101.25700000000001,103.107,104.41800000000001
Federal,101.745,100.089,98.424999999999997,101.71899999999999,97.552999999999997,98.146000000000001,99.341999999999999,98.203999999999994,97.953000000000003,98.067999999999998,96.453999999999994,97.813999999999993,100.526,104.714,102.104,100.479,97.626000000000005,96.855000000000004,96.927999999999997,99.584000000000003,100,98.808000000000007,101.962,104.30800000000001,101.46599999999999,103.166,103.745,107.696
State and local,90.165000000000006,91.444999999999993,92.191000000000003,93.766000000000005,95.375,97.753,98.14,98.414000000000001,98.688999999999993,98.875,99.960999999999999,101.38200000000001,101.251,100.79300000000001,99.225999999999999,98.14,97.781999999999996,98.364000000000004,98.054000000000002,99.167000000000002,100,100.863,101.913,97.466999999999999,97.591999999999999,98.613,101.86199999999999,105.467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
