Production Account Quantity Index Value Added (2017=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Chemical products,86.593000000000004,83.641999999999996,89.238,90.805999999999997,90.557000000000002,96.688000000000002,97.039000000000001,105.039,100.124,111.57899999999999,118.477,107.739,106.71599999999999,113.18899999999999,105.97499999999999,100.36199999999999,103.405,101.64,98.543999999999997,102.09699999999999,100,112.429,106.846,113.51300000000001,121.629,123.533,125.221,138.30699999999999
Plastics and rubber products,82.147999999999996,83.715000000000003,91.679000000000002,97.298000000000002,91.206000000000003,90.150999999999996,93.888999999999996,101.63200000000001,100.72,94.057000000000002,96.341999999999999,83.548000000000002,83.108999999999995,88.429000000000002,86.715000000000003,89.085999999999999,89.391999999999996,88.930999999999997,98.350999999999999,99.421000000000006,100,103.736,105.724,99.581999999999994,101.08799999999999,90.353999999999999,87.412000000000006,85.984999999999999
Wholesale trade,63.661000000000001,70.472999999999999,72.173000000000002,76.003,77.683999999999997,77.894000000000005,82.489000000000004,85.927000000000007,89.703999999999994,92.182000000000002,95.238,94.918999999999997,84.158000000000001,87.563000000000002,88.028000000000006,90.715999999999994,92.828000000000003,96.382999999999996,101.352,100.22799999999999,100,100.34099999999999,101.874,103.84,100.02,97.534999999999997,96.656999999999996,96.013999999999996
Retail trade,59.255000000000003,65.534999999999997,67.506,69.662000000000006,72.992999999999995,76.287999999999997,80.242000000000004,80.945999999999998,83.855000000000004,84.236000000000004,81.117999999999995,79.001999999999995,76.031000000000006,78.715999999999994,79.099999999999994,79.430999999999997,83.113,85.316999999999993,89.682000000000002,95.073999999999998,100,103.452,106.70099999999999,104.46599999999999,103.372,99.957999999999998,112.048,124.68899999999999
Air transportation,81.117999999999995,77.617999999999995,76.064999999999998,60.131,40.252000000000002,41.372,44.707000000000001,54.255000000000003,57.694000000000003,64.063999999999993,70.254000000000005,66.599000000000004,67.391999999999996,80.081999999999994,78.841999999999999,75.254000000000005,79.373000000000005,81.710999999999999,85.792000000000002,93.305000000000007,100,103.977,102.447,54.911000000000001,93.984999999999999,113.64400000000001,121.989,127.908
Rail transportation,83.021000000000001,87.87,91.736000000000004,96.843000000000004,94.188999999999993,85.180999999999997,92.596000000000004,97.736000000000004,98.929000000000002,102.307,100.327,102.764,91.293999999999997,91.87,92.707999999999998,95.686000000000007,96.388000000000005,101.761,104.239,97.227999999999994,100,101.26300000000001,94.584999999999994,84.521000000000001,91.399000000000001,93.662000000000006,91.662000000000006,90.881
Water transportation,57.54,52.993000000000002,43.411999999999999,46.531999999999996,44.762,32.531999999999996,32.271999999999998,37.826000000000001,45.237000000000002,71.358000000000004,91.438999999999993,110.136,142.90700000000001,118.32,123.712,127.392,166.464,153.357,127.205,106.809,100,104.11499999999999,95.396000000000001,93.308999999999997,125.289,102.205,103.79,112.931
Truck transportation,71.094999999999999,74.108000000000004,77.835999999999999,80.331000000000003,76.501999999999995,74.230999999999995,75.754000000000005,78.86,80.671999999999997,84.456999999999994,85.007000000000005,78.486999999999995,71.789000000000001,76.462000000000003,80.146000000000001,81.105999999999995,83.504999999999995,88.986000000000004,91.816999999999993,92.983000000000004,100,99.900999999999996,98.962999999999994,97.510999999999996,106.83,95.843000000000004,95.936000000000007,101.398
Transit and ground passenger transportation,68.001000000000005,70.022999999999996,78.603999999999999,81.838999999999999,81.242000000000004,80.105999999999995,82.787000000000006,84.522999999999996,83.316000000000003,86.84,88.578999999999994,90.727000000000004,85.242000000000004,87.293000000000006,91.054000000000002,96.018000000000001,95.471999999999994,100.76600000000001,99.013000000000005,95.869,100,107.539,127.474,100.379,113.96899999999999,143.93600000000001,173.14599999999999,209.27600000000001
Pipeline transportation,25.673999999999999,42.656999999999996,47.954000000000001,42.713000000000001,74.885000000000005,45.33,47.094000000000001,47.295999999999999,43.496000000000002,41.807000000000002,46.826000000000001,55.718000000000004,49.057000000000002,61.156999999999996,61.914000000000001,71.203999999999994,70.67,77.992000000000004,95.844999999999999,97.203000000000003,100,105.374,84.688999999999993,79.361999999999995,82.995999999999995,79.468999999999994,80.72,83.504000000000005
Other transportation and support activities,89.052000000000007,95.123999999999995,90.688000000000002,97.87,98.581999999999994,100.53400000000001,101.706,108.514,116.18899999999999,118.45099999999999,105.752,106.21899999999999,94.23,94.491,92.343000000000004,88.841999999999999,89.025000000000006,89.697999999999993,94.039000000000001,96.853999999999999,100,103.875,106.789,119.203,121.389,121.81399999999999,131.96100000000001,122.8
Warehousing and storage,36.131999999999998,42.143999999999998,40.744999999999997,43.433,41.189,41.83,44.856000000000002,52.506999999999998,59.996000000000002,64.322999999999993,60.947000000000003,64.427000000000007,63.412999999999997,66.162999999999997,69.923000000000002,77.001999999999995,81.144999999999996,83.918999999999997,86.459000000000003,94.269000000000005,100,109.289,117.249,130.25899999999999,154.38300000000001,152.809,133.32499999999999,137.65
