Integrated Total Factor Productivity* (2017=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Water transportation,93.575999999999993,90.926000000000002,85.646000000000001,86.230999999999995,86.423000000000002,79.111999999999995,78.790000000000006,82.256,84.593000000000004,95.79,103.206,108.911,117.902,109.333,111.767,112.288,119.735,115.38500000000001,107.996,101.77200000000001,100,101.697,100.113,100.419,110.255,98.367000000000004,98.912999999999997,100.565
Truck transportation,97.974999999999994,97.263999999999996,97.649000000000001,98.852000000000004,97.569000000000003,95.73,97.850999999999999,96.435000000000002,95.539000000000001,95.864000000000004,95.584000000000003,93.954999999999998,93.837000000000003,96.700999999999993,96.903000000000006,95.594999999999999,95.539000000000001,96.477999999999994,96.748000000000005,96.77,100,100.045,99.156999999999996,98.507000000000005,101.346,95.712000000000003,96.061000000000007,99.015000000000001
Transit and ground passenger transportation,99.2,99.974000000000004,104.637,108.075,105.77800000000001,103.557,107.32599999999999,109.434,107.84399999999999,107.90600000000001,107.07,108.779,105.023,104.13800000000001,105.04300000000001,111.023,110.65900000000001,112.724,107.78100000000001,101.414,100,101.913,109.09699999999999,112.54600000000001,120.15,123.95,131.72800000000001,139.84700000000001
Pipeline transportation,67.256,79.825999999999993,83.594999999999999,79.751999999999995,108.429,80.343999999999994,81,81.709000000000003,78.462000000000003,76.353999999999999,78.611999999999995,83.561000000000007,75.804000000000002,86.135000000000005,86.046999999999997,94.381,90.498999999999995,92.004000000000005,101.931,100.61799999999999,100,102.76900000000001,86.501999999999995,82.241,84.06,81.367000000000004,81.635000000000005,82.789000000000001
Other transportation and support activities,102.461,104.605,101.047,105.473,105.73,109.36,113.2,115.857,119.57299999999999,119.935,110.92100000000001,110.64400000000001,107.197,108.71899999999999,106.07599999999999,102.627,100.053,99.438000000000002,99.16,99.97,100,100.664,99.462000000000003,100.03400000000001,98.265000000000001,96.575999999999993,100.593,94.343000000000004
Warehousing and storage,83.891000000000005,91.667000000000002,83.533000000000001,85.784000000000006,83.658000000000001,84.106999999999999,87.191000000000003,94.638999999999996,102.718,101.452,95.152000000000001,97.668999999999997,97.195999999999998,99.406999999999996,100.86499999999999,104.89400000000001,106,106.568,104.26,101.36799999999999,100,101.322,104.863,102.61,101.20099999999999,94.65,87.724000000000004,89.25
"Publishing industries, except internet (includes software)",69.796999999999997,72.587999999999994,79.230999999999995,69.27,67.778000000000006,72.754000000000005,76.265000000000001,79.448999999999998,81.471000000000004,77.283000000000001,84.191000000000003,82.567999999999998,80.703999999999994,85.174000000000007,85.888999999999996,87.445999999999998,89.893000000000001,91.308999999999997,91.956999999999994,95.391000000000005,100,102.559,109.545,114.27800000000001,127.57299999999999,126.80800000000001,131.267,132.37799999999999
Motion picture and sound recording industries,72.784999999999997,78.284000000000006,84.912000000000006,78.108999999999995,84.567999999999998,87.918000000000006,84.247,86.480999999999995,81.596999999999994,85.575999999999993,91.334000000000003,94.424000000000007,100.137,105.321,100.93600000000001,97.313999999999993,97.745000000000005,96.492999999999995,100.069,101.291,100,95.494,92.144000000000005,95.322999999999993,98.052999999999997,105.756,109.715,111.444
Broadcasting and telecommunications,78.977000000000004,79.311000000000007,78.858999999999995,78.299000000000007,77.034999999999997,77.631,79.558999999999997,83.664000000000001,89.659000000000006,90.978999999999999,95.504000000000005,97.548000000000002,93.53,94.183000000000007,92.251000000000005,91.69,94.954999999999998,92.912999999999997,97.656999999999996,99.977999999999994,100,100.012,101.755,99.206999999999994,99.977000000000004,98.156000000000006,98.412999999999997,97.512
"Data processing, internet publishing, and other information services",73.652000000000001,73.668000000000006,58.826999999999998,52.219000000000001,66.444000000000003,89.531000000000006,90.826999999999998,103.886,96.064999999999998,103.468,90.322000000000003,102.26300000000001,103.941,109.822,111.343,100.35899999999999,106.904,102.643,101.313,101.517,100,96.998000000000005,100.648,103.587,109.443,110.745,115.181,119.474
