year,series,real_value_added_millions,hours_millions,real_value_added_per_hour,real_output_per_hour_thousands_1982_dollars,index_first_year_100,source_note
1974,Total economy,2.468909462968299e6,133092.093598,18.550384145474137,0.018550384145474136,209.08507823059267,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1975,Measurable sectors,852584.3876458015,45582.177614999986,18.7043364809591,0.0187043364809591,303.17451235834307,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1975,Unmeasurable sectors,1.605941403428789e6,83492.658081,19.23452241598049,0.01923452241598049,159.9608918040459,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1975,Total economy,2.4585257910745908e6,129074.835696,19.047289720088948,0.01904728972008895,214.68580003380683,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1976,Measurable sectors,903259.5951805351,47279.79440100001,19.104558440326688,0.01910455844032669,309.6616228468595,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1976,Unmeasurable sectors,1.6546840766409845e6,85243.808593,19.411193656789088,0.01941119365678909,161.43015049551158,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1976,Total economy,2.5579436718215197e6,132523.60299400002,19.301796917922086,0.019301796917922085,217.55440140356194,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1977,Measurable sectors,943089.4624478729,48610.66891400001,19.400873995713734,0.019400873995713733,314.46453708549666,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1977,Unmeasurable sectors,1.6944139894499588e6,87654.018159,19.330705255021815,0.019330705255021816,160.76078131398833,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1977,Total economy,2.6375034518978316e6,136264.687073,19.355737047888738,0.01935573704788874,218.16237136285778,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1978,Measurable sectors,980458.8998690208,50075.687194000006,19.579539589154113,0.019579539589154114,317.36048873936267,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1978,Unmeasurable sectors,1.770885830283203e6,91536.397887,19.346247734910094,0.019346247734910095,160.89003791261902,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1978,Total economy,2.7513447301522237e6,141612.085081,19.42874245922229,0.019428742459222288,218.9852299096257,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1979,Measurable sectors,984628.6069278913,50802.189206999996,19.381617648717786,0.019381617648717785,314.15241515504255,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1979,Unmeasurable sectors,1.8201427831226438e6,94004.44824400001,19.362304839003375,0.019362304839003374,161.02357430281387,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1979,Total economy,2.804771390050535e6,144806.63745100002,19.36908030890241,0.01936908030890241,218.31276591808728,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1980,Measurable sectors,934922.8658478092,48890.63272200001,19.122740160961524,0.019122740160961525,309.9563263929015,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1980,Unmeasurable sectors,1.8218894390166162e6,93981.41284099998,19.38563577564994,0.019385635775649942,161.21760238169708,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1980,Total economy,2.756812304864425e6,142872.045563,19.295673229853758,0.019295673229853757,217.48538009441896,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1981,Measurable sectors,960425.6042196852,49035.820006999995,19.586204617004096,0.019586204617004097,317.4685207227656,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1981,Unmeasurable sectors,1.8541186633181614e6,94017.899414,19.720911388944184,0.019720911388944183,164.00586948512864,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1981,Total economy,2.8145442675378467e6,143053.719421,19.67473672777974,0.01967473672777974,221.75788035622907,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1982,Measurable sectors,916014.0,45201.029938,20.265334689418598,0.020265334689418598,328.47639201195847,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1982,Unmeasurable sectors,1.828330875e6,93383.850829,19.578662250156626,0.019578662250156625,162.82287681150183,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1982,Total economy,2.744344875e6,138584.880767,19.802628250725363,0.019802628250725363,223.1993712100257,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1983,Measurable sectors,957400.181358861,45049.53442199999,21.25216594672094,0.02125216594672094,344.47172472622896,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1983,Unmeasurable sectors,1.9057283818498165e6,95050.066649,20.04973219942362,0.02004973219942362,166.74045623235764,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1983,Total economy,2.863128563208678e6,140099.60107099998,20.436379128286706,0.020436379128286705,230.3425037066079,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1984,Measurable sectors,1.051228795836233e6,47290.115234,22.22935576778707,0.02222935576778707,360.3107815024397,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1984,Unmeasurable sectors,2.023909075064287e6,99367.807312,20.367854839641538,0.020367854839641538,169.38607332290925,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1984,Total economy,3.07513787090052e6,146657.922546,20.968099216978803,0.020968099216978803,236.33562683921372,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1985,Measurable sectors,1.0991968806848782e6,46408.58251800001,23.68520693900841,0.02368520693900841,383.9083557521689,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1985,Unmeasurable sectors,2.110977414954041e6,101917.73828100001,20.71256143002125,0.02071256143002125,172.25277166952688,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1985,Total economy,3.2101742956389193e6,148326.32079900004,21.642647632237104,0.021642647632237104,243.93859651728445,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1986,Measurable sectors,1.123065253958491e6,44841.460632999995,25.045242463221594,0.025045242463221595,405.9528750679492,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1986,Unmeasurable sectors,2.190140387087421e6,103475.173706,21.165853688829575,0.021165853688829575,176.02250571327977,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1986,Total economy,3.313205641045912e6,148316.63433899998,22.338732643252154,0.022338732643252153,251.78430946003954,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1987,Measurable sectors,1.1883705840735496e6,45026.984710000004,26.39240872395405,0.02639240872395405,427.78879929754964,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1987,Unmeasurable sectors,2.215367910922753e6,106771.658326,20.748651333659094,0.020748651333659093,172.5529076981831,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1987,Total economy,3.4037384949963028e6,151798.64303600002,22.422720170094568,0.022422720170094567,252.73094962029325,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1988,Measurable sectors,1.239790588085211e6,46082.896176999995,26.903486780068988,0.02690348678006899,436.0727520909262,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1988,Unmeasurable sectors,2.3060578823169037e6,109774.97649999999,21.007136196625865,0.021007136196625864,174.70255655890338,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1988,Total economy,3.545848470402115e6,155857.87267699998,22.75052526702026,0.02275052526702026,256.4257062246635,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1989,Measurable sectors,1.2565192668626239e6,46062.564117,27.278534987132613,0.027278534987132612,442.151826716382,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1989,Unmeasurable sectors,2.392452133620283e6,112798.86303699999,21.209895819920785,0.021209895819920783,176.38877519551278,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1989,Total economy,3.648971400482907e6,158861.42715399998,22.969524231616028,0.022969524231616027,258.89408721806177,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1990,Measurable sectors,1.2662126649574419e6,45223.967192,27.998708286287446,0.027998708286287446,453.8249587201306,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1990,Unmeasurable sectors,2.4287530356545993e6,113081.575317,21.477884693824876,0.021477884693824875,178.61746267400432,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
1990,Total economy,3.694965700612041e6,158305.542509,23.34072226436402,0.02334072226436402,263.0779342536549,"BEA-BLS historical KLEMS research data, value added double-deflated to millions of 1982 dollars, total hours."
