year,sector,sector_order,row_type,value_millions,share_of_national_income_percent,share_of_domestic_industries_percent,source_table,source_line,source_description,classification_note,source_note
1952,"Agriculture, forestry, fishing, and hunting",1,sector,19890.0,6.027144878744997,6.06361768417972,Table 6.1B,4,"Agriculture, forestry, and fishing",Legacy SIC agriculture/forestry/fishing mapped to Table 6D agriculture/forestry/fishing/hunting.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,Mining,2,sector,6229.0,1.8875357189392952,1.8989579967197323,Table 6.1B,5,Mining,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,Utilities,3,sector,5790.0,1.7545082377040486,1.7651255098743377,Table 6.1B,13,"Electric, gas, and sanitary services","Legacy electric, gas, and sanitary services mapped to Table 6D utilities.","BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,Construction,4,sector,16088.0,4.875048105040196,4.90454908512234,Table 6.1B,6,Construction,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,Manufacturing,5,sector,101776.0,30.84055792755911,31.027187200858478,Table 6.1B,7,Manufacturing,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,Wholesale trade,6,sector,21292.0,6.451984351847082,6.491028040802141,Table 6.1B,14,Wholesale trade,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,Retail trade,7,sector,34200.0,10.363416533588682,10.42612995469816,Table 6.1B,15,Retail trade,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,Transportation and warehousing,8,sector,17141.0,5.194132245679637,5.225564138990677,Table 6.1B,10 - 12 - 13,Transportation and public utilities less communications and electric/gas/sanitary services,Legacy transportation/public utilities adjusted by subtracting communications and electric/gas/sanitary services.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,Information,9,sector,5938.0,1.799355771241216,1.8102444348244935,Table 6.1B,12,Communications,Legacy communications mapped to Table 6D information.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,"Finance, insurance, real estate, rental, and leasing",10,sector,33376.0,10.11372486038175,10.174927291462158,Table 6.1B,16,"Finance, insurance, and real estate",Legacy finance/insurance/real estate mapped to Table 6D finance/insurance/real estate/rental/leasing.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,Professional and business services,11,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,"Educational services, health care, and social assistance",12,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,"Arts, entertainment, recreation, accommodation, and food services",13,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,"Other services, except government",14,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,Services,15,services_total,26946.0,8.165281342516977,8.214692916938498,Table 6.1B,17,Services,Legacy aggregate services mapped to total services.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,Government,16,sector,39356.0,11.925807634383514,11.997975745529263,Table 6.1B,18,Government,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1952,Rest of the world,17,sector,1985.0,0.6015023923734951,missing,Table 6.1B,19,Rest of the world,Direct mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,"Agriculture, forestry, fishing, and hunting",1,sector,17692.0,5.100749313105627,5.128829518309794,Table 6.1B,4,"Agriculture, forestry, and fishing",Legacy SIC agriculture/forestry/fishing mapped to Table 6D agriculture/forestry/fishing/hunting.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,Mining,2,sector,6262.0,1.805386174466846,1.815325030728913,Table 6.1B,5,Mining,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,Utilities,3,sector,6290.0,1.8134588050776848,1.8234421020895661,Table 6.1B,13,"Electric, gas, and sanitary services","Legacy electric, gas, and sanitary services mapped to Table 6D utilities.","BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,Construction,4,sector,16609.0,4.7885114934078326,4.814872793895963,Table 6.1B,6,Construction,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,Manufacturing,5,sector,110519.0,31.863537945688496,32.038950346714905,Table 6.1B,7,Manufacturing,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,Wholesale trade,6,sector,21865.0,6.303859582356689,6.3385630464528395,Table 6.1B,14,Wholesale trade,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,Retail trade,7,sector,35048.0,10.10462705888119,10.160254180291751,Table 6.1B,15,Retail trade,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,Transportation and warehousing,8,sector,17640.0,5.085757284828356,5.113754957211438,Table 6.1B,10 - 12 - 13,Transportation and public utilities less communications and electric/gas/sanitary services,Legacy transportation/public utilities adjusted by subtracting communications and electric/gas/sanitary services.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,Information,9,sector,6649.0,1.9169614618380804,1.927514552749368,Table 6.1B,12,Communications,Legacy communications mapped to Table 6D information.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,"Finance, insurance, real estate, rental, and leasing",10,sector,36757.0,10.597345834378451,10.655685428697327,Table 6.1B,16,"Finance, insurance, and real estate",Legacy finance/insurance/real estate mapped to Table 6D finance/insurance/real estate/rental/leasing.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,Professional and business services,11,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,"Educational services, health care, and social assistance",12,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,"Arts, entertainment, recreation, accommodation, and food services",13,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,"Other services, except government",14,service_detail,missing,missing,missing,Table 6.1B,,,Service detail is not available before Table 6.1D; kept missing by design.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,Services,15,services_total,29057.0,8.377372416397819,8.42349080451773,Table 6.1B,17,Services,Legacy aggregate services mapped to total services.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,Government,16,sector,40565.0,11.69522359745251,11.759607133746144,Table 6.1B,18,Government,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1953,Rest of the world,17,sector,1899.0,0.547497340356522,missing,Table 6.1B,19,Rest of the world,Direct mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1954,"Agriculture, forestry, fishing, and hunting",1,sector,17191.0,4.97099697535755,5.001294617011559,Table 6.1B,4,"Agriculture, forestry, and fishing",Legacy SIC agriculture/forestry/fishing mapped to Table 6D agriculture/forestry/fishing/hunting.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1954,Mining,2,sector,6106.0,1.7656278012642195,1.7763890949608852,Table 6.1B,5,Mining,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1954,Utilities,3,sector,6854.0,1.9819215443604588,1.9940011229711605,Table 6.1B,13,"Electric, gas, and sanitary services","Legacy electric, gas, and sanitary services mapped to Table 6D utilities.","BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
1954,Construction,4,sector,16704.0,4.830174712138474,4.85961405866797,Table 6.1B,6,Construction,Direct legacy SIC mapping.,"BEA NIPA archive, 2024 Q1 Third estimate, released June 28, 2024; Section 6 Table 6.1B/C/D."
